ResourceID,Title,Description,3D Model File,File Format Type,Measurement Unit,Thumbnail Image,Photographs,Drawings,Geometry
b0b0b0b0-0000-01a1-0000-000000000000,LN4232 Feature 1 - Panel 1 (Bottom),,Red-Pigment_Feature1-Panel1_bottom.ply,PLY,Centimeter,Red-Pigment_Feature1-Panel1_bottom_preview.jpg,"b0b0b0b0-0000-0101-0003-000000000000,b0b0b0b0-0000-0101-0004-000000000000",,Point (-115.28371069 37.35970102)
b0b0b0b0-0000-01b1-0000-000000000000,LN4232 Feature 1 - Panel 1 (Top),,Red-Pigment_Feature1-Panel1_top.ply,PLY,Centimeter,Red-Pigment_Feature1-Panel1_top_preview.jpg,"b0b0b0b0-0000-0101-0001-000000000000,b0b0b0b0-0000-0101-0002-000000000000,b0b0b0b0-0000-0101-0004-000000000000",,Point (-115.28371069 37.35970102)
b0b0b0b0-0000-2901-0000-000000000000,LN4232 Feature 29 - Panel 1,,Red-Pigment_Feature29_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature29_Panel1_preview.jpg,"b0b0b0b0-0000-2901-0001-000000000000,b0b0b0b0-0000-2901-0002-000000000000,b0b0b0b0-0000-2901-0003-000000000000,b0b0b0b0-0000-2901-0005-000000000000,b0b0b0b0-0000-2901-0006-000000000000","b0b0b0b0-0000-2901-0004-000000000000,b0b0b0b0-0000-2910-0001-000000000000",Point (-115.28137214 37.36024262)
b0b0b0b0-0000-3202-0000-000000000000,LN4232 Feature 32 - Panel 2,,Red-Pigment_Feature32_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature32_Panel2_preview.jpg,"b0b0b0b0-0000-3202-0001-000000000000,b0b0b0b0-0000-3202-0002-000000000000,b0b0b0b0-0000-3217-0005-000000000000,b0b0b0b0-0000-3217-0006-000000000000,b0b0b0b0-0000-3217-0007-000000000000",b0b0b0b0-0000-3217-0008-000000000000,Point (-115.2813695 37.36041614)
b0b0b0b0-0000-3201-0000-000000000000,LN4232 Feature 32 - Panel 1,,Red-Pigment_Feature32_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature32_Panel1_preview.jpg,"b0b0b0b0-0000-3201-0001-000000000000,b0b0b0b0-0000-3201-0002-000000000000,b0b0b0b0-0000-3217-0001-000000000000,b0b0b0b0-0000-3217-0002-000000000000,b0b0b0b0-0000-3217-0003-000000000000",b0b0b0b0-0000-3217-0004-000000000000,Point (-115.2813695 37.36041614)
b0b0b0b0-0000-1901-0000-000000000000,LN4232 Feature 19 - Panels 1 and 2,,Red-Pigment_Feature19_Panel1-2.ply,PLY,Centimeter,Red-Pigment_Feature19_Panel1-2_preview.jpg,"b0b0b0b0-0000-1912-0001-000000000000,b0b0b0b0-0000-1912-0002-000000000000,b0b0b0b0-0000-1901-0001-000000000000,b0b0b0b0-0000-1901-0002-000000000000,b0b0b0b0-0000-1901-0003-000000000000,b0b0b0b0-0000-1902-0001-000000000000,b0b0b0b0-0000-1912-0003-000000000000",,Point (-115.28265399 37.35962936)
b0b0b0b0-0000-0102-0000-000000000000,LN4232 Feature 1 -  Panel 2,,Red-Pigment_Feature1_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature1_Panel2_preview.jpg,"b0b0b0b0-0000-0102-0001-000000000000,b0b0b0b0-0000-0102-0002-000000000000,b0b0b0b0-0000-0102-0003-000000000000",,Point (-115.2837483 37.35971382)
b0b0b0b0-0000-2601-0000-000000000000,LN4232 Feature 26 -  Panel 1,,Red-Pigment_Feature26_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature26_Panel1_preview.jpg,"b0b0b0b0-0000-2601-0001-000000000000,b0b0b0b0-0000-262A-0001-000000000000,b0b0b0b0-0000-262A-0002-000000000000,b0b0b0b0-0000-262B-0001-000000000000,b0b0b0b0-0000-262B-0002-000000000000,b0b0b0b0-0000-262B-0003-000000000000,b0b0b0b0-0000-262C-0001-000000000000,b0b0b0b0-0000-262C-0002-000000000000,b0b0b0b0-0000-262C-0003-000000000000,b0b0b0b0-0000-262C-0005-000000000000,b0b0b0b0-0000-262D-0001-000000000000,b0b0b0b0-0000-262D-0003-000000000000,b0b0b0b0-0000-262E-0001-000000000000,b0b0b0b0-0000-262E-0002-000000000000","b0b0b0b0-0000-2636-0001-000000000000,b0b0b0b0-0000-262A-0003-000000000000,b0b0b0b0-0000-262B-0004-000000000000,b0b0b0b0-0000-262E-0003-000000000000,b0b0b0b0-0000-2636-0002-000000000000,b0b0b0b0-0000-262C-0004-000000000000,b0b0b0b0-0000-262D-0002-000000000000,b0b0b0b0-0000-262E-0003-000000000000,b0b0b0b0-0000-2636-0002-000000000000,b0b0b0b0-0000-2636-0003-000000000000",Point (-115.28147415 37.36010011)
b0b0b0b0-0000-1401-0000-000000000000,LN4061 Feature 14 - Panel 1,,Red-Pigment_Feature14_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature14_Panel1_preview.jpg,"b0b0b0b0-0000-1401-0001-000000000000,b0b0b0b0-0000-1401-0002-000000000000,b0b0b0b0-0000-1401-0003-000000000000,b0b0b0b0-0000-1401-0004-000000000000,b0b0b0b0-0000-1401-0005-000000000000,b0b0b0b0-0000-1401-0006-000000000000,b0b0b0b0-0000-1401-0007-000000000000,b0b0b0b0-0000-1401-0009-000000000000,b0b0b0b0-0000-1401-0010-000000000000","b0b0b0b0-0000-1401-0008-000000000000,b0b0b0b0-0000-1421-0001-000000000000",Point (-115.28088039 37.36069372)
b0b0b0b0-0000-0202-0000-000000000000,LN4061 Feature 2 - Panel 2,,Red-Pigment_Feature2_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel2_preview.jpg,"b0b0b0b0-0000-0202-0001-000000000000,b0b0b0b0-0000-0202-0002-000000000000,b0b0b0b0-0000-0202-0003-000000000000",b0b0b0b0-0000-0223-0002-000000000000,Point (-115.280561 37.36065539)
b0b0b0b0-0000-0203-0000-000000000000,LN4061 Feature 2 - Panel 3,,Red-Pigment_Feature2_Panel3.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel3_preview.jpg,"b0b0b0b0-0000-0203-0001-000000000000,b0b0b0b0-0000-0203-0002-000000000000,b0b0b0b0-0000-0203-0003-000000000000,b0b0b0b0-0000-0203-0004-000000000000",b0b0b0b0-0000-0223-0003-000000000000,Point (-115.28054214 37.36064032)
b0b0b0b0-0000-0201-0000-000000000000,LN4061 Feature 2 - Panel 1,,Red-Pigment_Feature2_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel1_preview.jpg,"b0b0b0b0-0000-0201-0001-000000000000,b0b0b0b0-0000-0201-0002-000000000000,b0b0b0b0-0000-0201-0003-000000000000,b0b0b0b0-0000-0201-0004-000000000000",b0b0b0b0-0000-0223-0001-000000000000,Point (-115.28053701 37.36066058)
