ResourceID,Title,Description,3D Model File,File Format Type,Measurement Unit,Thumbnail Image,Photographs,Drawings,Geometry
b0b0b0b0-abba-54bd-01a0-9f77b57c7fcf,LN4232 Feature 1 - Panel 1 (Bottom),this is the description for Red Pigment - Panel 1 Bottom F1,Red-Pigment_Feature1-Panel1_bottom.ply,PLY,Centimeter,Red-Pigment_Feature1-Panel1_bottom_preview.jpg,,,
b0b0b0b0-abba-54bd-01b0-9f77b57c7fcf,LN4232 Feature 1 - Panel 1 (Top),this is the description for Red Pigment - Panel 1 Top F1,Red-Pigment_Feature1-Panel1_top.ply,PLY,Centimeter,Red-Pigment_Feature1-Panel1_top_preview.jpg,,,
b0b0b0b0-abba-54bd-10c0-9f77b57c7fcf,LN4232 Feature 29 - Panel 1,this is the description for Red Pigment - Panel 10C,Red-Pigment_Feature29_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature29_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-17a0-9f77b57c7fcf,LN4232 Feature 32 - Panel 2,this is the description for Red Pigment - Panel 17A,Red-Pigment_Feature32_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature32_Panel2_preview.jpg,,,
b0b0b0b0-abba-54bd-17b0-9f77b57c7fcf,LN4232 Feature 32 - Panel 1,this is the description for Red Pigment - Panel 17B,Red-Pigment_Feature32_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature32_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-1900-9f77b57c7fcf,LN4232 Feature 19 - Panels 1 and 2,this is the description for Red Pigment - Panel 19,Red-Pigment_Feature19_Panel1-2.ply,PLY,Centimeter,Red-Pigment_Feature19_Panel1-2_preview.jpg,,,
b0b0b0b0-abba-54bd-02a0-9f77b57c7fcf,LN4232 Feature 1 -  Panel 2,this is the description for Red Pigment - Panel 2 F1,Red-Pigment_Feature1_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature1_Panel2_preview.jpg,,,
b0b0b0b0-abba-54bd-02b0-9f77b57c7fcf,LN4232 Feature 26 -  Panel 1,this is the description for Red Pigment - Panel 2,Red-Pigment_Feature26_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature26_Panel1_preview.jpg,,,Point (-115.28384112 37.3596587)
b0b0b0b0-abba-54bd-2100-9f77b57c7fcf,LN4061 Feature 14 - Panel 1,this is the description for Red Pigment - Panel 21,Red-Pigment_Feature14_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature14_Panel1_preview.jpg,,,Point (-115.2826744 37.35971813)
b0b0b0b0-abba-54bd-23a0-9f77b57c7fcf,LN4061 Feature 2 - Panel 2,this is the description for Red Pigment - Panel 23A,Red-Pigment_Feature2_Panel2.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel2_preview.jpg,,,Point (-115.28273183 37.35973172)
b0b0b0b0-abba-54bd-23b0-9f77b57c7fcf,LN4061 Feature 2 - Panel 3,this is the description for Red Pigment - Panel 23B,Red-Pigment_Feature2_Panel3.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel3_preview.jpg,,,Point (-115.28273184 37.35973172)
b0b0b0b0-abba-54bd-23c0-9f77b57c7fcf,LN4061 Feature 2 - Panel 1,this is the description for Red Pigment - Panel 23C,Red-Pigment_Feature2_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature2_Panel1_preview.jpg,,,Point (-115.28273182 37.35973171)
b0b0b0b0-abba-54bd-2400-9f77b57c7fcf,LN4061 Feature 6 -  Panel 1,this is the description for Red Pigment - Panel 24,Red-Pigment_Feature6_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature6_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-2500-9f77b57c7fcf,LN4061 Feature 8 - Panel 1,this is the description for Red Pigment - Panel 25,Red-Pigment_Feature8_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature8_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-3300-9f77b57c7fcf,LN4232 Feature 47 - Panel 1,this is the description for Red Pigment - Panel 33,Red-Pigment_Feature47_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature47_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-3500-9f77b57c7fcf,LN4232 Feature 55 - Panel 1,this is the description for Red Pigment - Panel 35,Red-Pigment_Feature55_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature55_Panel1_preview.jpg,,,
b0b0b0b0-abba-54bd-0700-9f77b57c7fcf,LN4232 Feature37 -  Panel 1,this is the description for Red Pigment - Panel 7,Red-Pigment_Feature37_Panel1.ply,PLY,Centimeter,Red-Pigment_Feature37_Panel1_preview.jpg,,,
